epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,265.965,1.42291,2.85676,1.091,1.45715,0.78742,0.77982,0.83158,0.47252,0.78358,0.75535,0.8073,0.40312,1.39493,2.53461,1.01818,1.43069,0.0015215,0.0015215,0.0015215
31,275.285,1.46229,2.94454,1.12138,1.49168,0.81488,0.81346,0.83398,0.44212,0.81676,0.80428,0.81562,0.37273,1.46163,2.5098,1.03525,1.45842,0.001505,0.001505,0.001505
32,283.903,1.39377,2.7322,1.01017,1.41582,0.78153,0.80734,0.80815,0.45374,0.79561,0.8104,0.81028,0.38595,1.44017,2.52751,1.01148,1.4282,0.0014885,0.0014885,0.0014885
33,292.108,1.42874,2.78975,1.05571,1.45021,0.78271,0.8104,0.8256,0.4533,0.78481,0.80734,0.82028,0.37171,1.41104,2.46224,1.00517,1.42029,0.001472,0.001472,0.001472
34,300.781,1.48364,2.87002,1.13598,1.50346,0.78613,0.7419,0.80002,0.46211,0.79045,0.73394,0.77851,0.35673,1.3618,2.45002,1.04945,1.40567,0.0014555,0.0014555,0.0014555
35,309.039,1.41112,2.79603,1.05638,1.44265,0.81747,0.76147,0.81347,0.46426,0.79583,0.73903,0.76893,0.3552,1.39577,2.50167,1.04325,1.43134,0.001439,0.001439,0.001439
36,317.459,1.4219,2.8589,1.08322,1.4605,0.79135,0.81346,0.82534,0.47431,0.7928,0.8104,0.81434,0.38594,1.42088,2.47968,1.01361,1.42777,0.0014225,0.0014225,0.0014225
37,326.259,1.42764,2.91021,1.08743,1.47293,0.79135,0.81346,0.82534,0.47431,0.7928,0.8104,0.81434,0.38594,1.42088,2.47968,1.01361,1.42777,0.001406,0.001406,0.001406
38,335.093,1.37253,2.74044,1.01944,1.41142,0.84331,0.77357,0.82427,0.47564,0.81762,0.76758,0.82499,0.39999,1.40429,2.3948,1.01455,1.41725,0.0013895,0.0013895,0.0013895
39,344.311,1.41925,2.80816,1.10084,1.47349,0.82508,0.77894,0.85302,0.50122,0.83144,0.78437,0.85387,0.43106,1.3773,2.37936,1.00383,1.40313,0.001373,0.001373,0.001373
40,353.836,1.3631,2.71194,1.02441,1.40975,0.83874,0.78287,0.86121,0.51331,0.83497,0.74924,0.84218,0.43173,1.362,2.4106,0.97942,1.39183,0.0013565,0.0013565,0.0013565
41,362.528,1.39987,2.77749,1.06208,1.43353,0.85613,0.80072,0.8749,0.49944,0.84496,0.76664,0.8524,0.4279,1.40509,2.52422,0.96021,1.40731,0.00134,0.00134,0.00134
42,370.921,1.39655,2.76943,1.06712,1.42573,0.83473,0.81957,0.86532,0.49423,0.80782,0.79511,0.83352,0.41946,1.38944,2.46473,0.96583,1.39483,0.0013235,0.0013235,0.0013235
43,379.259,1.3838,2.74861,1.01832,1.41696,0.81785,0.78593,0.84683,0.50689,0.77981,0.77979,0.81718,0.41481,1.31215,2.30723,0.95853,1.37414,0.001307,0.001307,0.001307
44,387.797,1.36952,2.70752,1.01719,1.40655,0.79552,0.79511,0.84271,0.50371,0.78684,0.78287,0.81764,0.40905,1.2997,2.24928,0.94887,1.3881,0.0012905,0.0012905,0.0012905
45,395.986,1.34973,2.70308,1.01586,1.4215,0.79552,0.79511,0.84271,0.50371,0.78684,0.78287,0.81764,0.40905,1.2997,2.24928,0.94887,1.3881,0.001274,0.001274,0.001274
46,404.409,1.34647,2.68136,1.04477,1.40915,0.77896,0.78287,0.80974,0.47173,0.82378,0.7291,0.81102,0.38641,1.38268,2.26728,1.01265,1.44461,0.0012575,0.0012575,0.0012575
47,412.532,1.37014,2.66436,1.01674,1.42882,0.80609,0.80088,0.84128,0.49234,0.80918,0.79105,0.83293,0.41429,1.35012,2.29734,0.97965,1.4038,0.001241,0.001241,0.001241
48,421.037,1.40529,2.70442,1.04286,1.43822,0.81842,0.81325,0.85576,0.48821,0.84852,0.82569,0.86685,0.43271,1.36753,2.35288,0.97052,1.42729,0.0012245,0.0012245,0.0012245
49,430.781,1.37891,2.6678,1.01233,1.41743,0.82437,0.80734,0.86742,0.51307,0.82415,0.80122,0.86361,0.43743,1.33765,2.31546,0.93074,1.38549,0.001208,0.001208,0.001208
50,440.055,1.41862,2.69778,1.05267,1.45168,0.86399,0.81587,0.87698,0.51239,0.86643,0.8104,0.87221,0.44959,1.34814,2.25398,0.89918,1.36234,0.0011915,0.0011915,0.0011915
51,448.682,1.37934,2.667,1.02356,1.42777,0.85401,0.8104,0.87641,0.52227,0.84773,0.8104,0.86365,0.45815,1.29935,2.26615,0.89851,1.34792,0.001175,0.001175,0.001175
52,457.545,1.34212,2.64998,0.9936,1.41543,0.85211,0.81651,0.87665,0.54465,0.84488,0.79511,0.86268,0.44754,1.24651,2.28784,0.90956,1.34084,0.0011585,0.0011585,0.0011585
53,466.406,1.35036,2.67323,1.00168,1.41559,0.85211,0.81651,0.87665,0.54465,0.84488,0.79511,0.86268,0.44754,1.24651,2.28784,0.90956,1.34084,0.001142,0.001142,0.001142
54,475.506,1.3099,2.56987,0.98618,1.37595,0.80851,0.83926,0.87189,0.5203,0.81768,0.82875,0.85951,0.4478,1.30405,2.20078,0.91312,1.37096,0.0011255,0.0011255,0.0011255
55,484.308,1.34025,2.67952,0.99189,1.40588,0.85713,0.82563,0.86121,0.51283,0.83178,0.81957,0.8535,0.4307,1.30149,2.16609,0.92826,1.36385,0.001109,0.001109,0.001109
56,492.761,1.34597,2.6245,0.9868,1.40454,0.86548,0.8104,0.86138,0.52258,0.85021,0.81582,0.86422,0.4507,1.28148,2.17367,0.91972,1.35447,0.0010925,0.0010925,0.0010925
57,501.267,1.28279,2.54175,0.92028,1.3525,0.87394,0.79511,0.872,0.53989,0.87131,0.79511,0.87254,0.45168,1.26462,2.14532,0.88711,1.33152,0.001076,0.001076,0.001076
