epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1231.41,0.69098,1.0308,0.62188,1.02689,0.87759,0.86737,0.92471,0.78438,0.89563,0.85681,0.91135,0.63139,0.56451,0.77488,0.51964,0.93943,0.0015215,0.0015215,0.0015215
31,1271.65,0.69775,1.02309,0.62343,1.02769,0.87159,0.82512,0.90218,0.7717,0.87201,0.81338,0.89504,0.65262,0.55355,0.86799,0.62515,0.95173,0.001505,0.001505,0.001505
32,1312.59,0.67464,1.00498,0.61564,1.02534,0.84499,0.87655,0.91929,0.78277,0.87461,0.86972,0.90817,0.6247,0.54235,0.76583,0.52061,0.93495,0.0014885,0.0014885,0.0014885
33,1353.09,0.68306,1.0636,0.61584,1.03028,0.84182,0.85575,0.90781,0.77979,0.86312,0.85915,0.90665,0.65531,0.53063,0.82022,0.5682,0.94672,0.001472,0.001472,0.001472
34,1394.22,0.6885,1.05904,0.64287,1.03094,0.82603,0.84977,0.90176,0.7572,0.83846,0.84677,0.89694,0.60222,0.56729,0.88184,0.60319,0.94576,0.0014555,0.0014555,0.0014555
35,1434.38,0.69143,1.03083,0.64296,1.03256,0.84224,0.8392,0.89745,0.74968,0.86328,0.85968,0.90008,0.65053,0.59828,0.80569,0.5891,0.97466,0.001439,0.001439,0.001439
36,1474.56,0.70552,1.07818,0.66179,1.04861,0.86912,0.8615,0.9233,0.78605,0.87622,0.86854,0.91614,0.63115,0.54935,0.75199,0.52553,0.937,0.0014225,0.0014225,0.0014225
37,1514.95,0.67753,1.02601,0.63791,1.01827,0.84402,0.82277,0.88149,0.73307,0.86199,0.83451,0.88724,0.61285,0.58552,1.01914,0.66772,0.98008,0.001406,0.001406,0.001406
38,1555.12,0.67886,1.06117,0.63539,1.03103,0.86514,0.87344,0.92183,0.78017,0.87377,0.86854,0.90797,0.61642,0.56042,0.78317,0.51588,0.94522,0.0013895,0.0013895,0.0013895
39,1595.71,0.70369,1.08951,0.63057,1.04321,0.89068,0.84977,0.92417,0.7983,0.90323,0.85447,0.91887,0.66416,0.51979,0.72084,0.49908,0.9341,0.001373,0.001373,0.001373
40,1636.82,0.67541,1.02891,0.61494,1.01394,0.83762,0.83551,0.89422,0.75302,0.88755,0.80599,0.88365,0.59592,0.57028,0.8794,0.57364,0.95471,0.0013565,0.0013565,0.0013565
