epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,631.715,0.74421,1.2054,0.70081,1.01675,0.86209,0.86502,0.91648,0.77459,0.8832,0.84311,0.91125,0.65384,0.54754,0.74807,0.55317,0.91007,0.0015215,0.0015215,0.0015215
31,652.289,0.6989,1.08335,0.65872,0.99366,0.87671,0.87324,0.9296,0.80083,0.88255,0.88195,0.92744,0.66504,0.52505,0.71223,0.50008,0.89362,0.001505,0.001505,0.001505
32,672.695,0.66708,0.98824,0.63378,0.9749,0.87565,0.85955,0.93288,0.79976,0.9065,0.83333,0.92538,0.67432,0.51786,0.68743,0.50177,0.88347,0.0014885,0.0014885,0.0014885
33,693.538,0.73798,1.14454,0.70987,1.01783,0.8376,0.86502,0.90885,0.7626,0.84801,0.85681,0.9039,0.62131,0.58315,0.7405,0.57705,0.9195,0.001472,0.001472,0.001472
34,713.937,0.7042,1.02266,0.64781,0.99041,0.83845,0.87324,0.92055,0.78399,0.84295,0.87793,0.91849,0.68068,0.54403,0.71428,0.52933,0.89332,0.0014555,0.0014555,0.0014555
35,734.461,0.75721,1.11856,0.67986,1.02247,0.89891,0.85681,0.92939,0.77692,0.91373,0.85329,0.91546,0.61899,0.58907,0.7773,0.50555,0.90487,0.001439,0.001439,0.001439
36,755.07,0.70277,1.04197,0.63742,0.98276,0.88002,0.85681,0.92575,0.78001,0.90043,0.86385,0.9243,0.675,0.57776,0.74382,0.51234,0.89914,0.0014225,0.0014225,0.0014225
37,775.591,0.71599,1.05667,0.65045,1.01356,0.88116,0.87207,0.93025,0.7884,0.88949,0.87859,0.92803,0.6545,0.56021,0.70868,0.50928,0.89286,0.001406,0.001406,0.001406
38,796.414,0.73405,1.14788,0.66716,1.00884,0.8689,0.86033,0.92568,0.7871,0.88431,0.87029,0.92625,0.6788,0.55654,0.6924,0.52468,0.89177,0.0013895,0.0013895,0.0013895
39,816.927,0.69764,1.03899,0.62987,0.98479,0.85627,0.88104,0.93183,0.80349,0.89456,0.85446,0.9265,0.66829,0.53579,0.69909,0.49741,0.89167,0.001373,0.001373,0.001373
40,837.449,0.72752,1.12153,0.67811,1.02009,0.86297,0.8722,0.92694,0.79286,0.88105,0.85681,0.9102,0.63481,0.52913,0.724,0.51955,0.88631,0.0013565,0.0013565,0.0013565
41,858.135,0.6971,1.0521,0.63913,0.98165,0.8979,0.84624,0.93098,0.79413,0.91977,0.84768,0.92171,0.63574,0.55131,0.73388,0.50821,0.88406,0.00134,0.00134,0.00134
42,878.949,0.72376,1.08604,0.66809,1.00431,0.88406,0.82338,0.91927,0.78779,0.89156,0.82629,0.91713,0.65424,0.53104,0.70217,0.51891,0.88933,0.0013235,0.0013235,0.0013235
43,899.516,0.71027,1.07767,0.65969,0.99554,0.86207,0.86737,0.92541,0.80264,0.87843,0.85563,0.91718,0.66207,0.52718,0.68258,0.49913,0.88895,0.001307,0.001307,0.001307
