Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,16,14,0.914689880304679,4590,4208,2213.5416666666665,2029.3209876543208
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,1,1,0.9049220963172805,5623,5136,2711.7091049382716,2476.8518518518517
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,3,0,0.9049061175045428,3302,2988,1592.3996913580247,1440.9722222222222
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,0,12,0.9026876737720111,6474,5844,3122.1064814814813,2818.287037037037
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,15,21,0.8975659229208925,1964,1778,947.145061728395,857.4459876543209
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,18,6,0.8962822637935117,4175,3833,2013.406635802469,1848.4760802469134
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,23,22,0.8953068592057761,1385,1240,667.920524691358,597.9938271604938
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,9,4,0.8841344275107463,5099,4544,2459.008487654321,2191.358024691358
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,22,17,0.8562162162162162,925,792,446.0841049382716,381.9444444444444
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,26,19,0.6447368421052632,74,51,35.68672839506173,24.594907407407405
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,18,0.0,157,0,75.71373456790123,0.0
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,20,0.0,28,0,13.503086419753085,0.0
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,3,9,0.9653470437017995,9583,9530,4621.431327160493,4595.871913580247
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,1,8,0.962397617274758,7782,8031,3752.8935185185182,3872.974537037037
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,19,3,0.9606003752345216,5273,5177,2542.920524691358,2496.6242283950614
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,16,22,0.9605747327843,5585,5604,2693.383487654321,2702.546296296296
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,5,32,0.9596809924678777,4417,4429,2130.1118827160494,2135.8989197530864
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,15,36,0.9594855305466238,3095,2999,1492.5733024691358,1446.2770061728395
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,37,21,0.95768467244802,9361,9376,4514.371141975308,4521.604938271605
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,27,13,0.9574843044388148,8960,8812,4320.9876543209875,4249.614197530864
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,28,4,0.95525956284153,2873,2852,1385.5131172839506,1375.3858024691358
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,29,25,0.9528822055137844,3959,3833,1909.2399691358023,1848.4760802469134
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,24,34,0.9513432835820895,3297,3240,1589.9884259259259,1562.5
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,8,30,0.9491466388018113,2767,2829,1334.3942901234568,1364.2939814814815
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,11,2,0.9466958744067178,7919,8077,3818.9621913580245,3895.1581790123455
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,13,10,0.9449090014756517,1952,2002,941.358024691358,965.4706790123456
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,7,15,0.9441808540329333,3488,3478,1682.0987654320986,1677.2762345679012
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,31,37,0.9426900584795321,18128,18414,8742.283950617284,8880.208333333332
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,9,7,0.940099398378237,3637,3780,1753.9544753086418,1822.9166666666665
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,20,1,0.9389736477115118,1418,1378,683.8348765432098,664.5447530864197
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,0,31,0.9354699003897792,4444,4494,2143.1327160493825,2167.2453703703704
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,36,24,0.9330555555555555,3429,3530,1653.6458333333333,1702.3533950617284
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,17,17,0.9304224352147675,2773,2665,1337.2878086419753,1285.2044753086418
