Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,3,0,0.9049061175045428,3302,2988,1190.838,1077.5966
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,0,12,0.9026876737720111,6474,5844,2334.7927,2107.5886
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,15,21,0.8975659229208925,1964,1778,708.2998,641.2205
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,18,6,0.8962822637935117,4175,3833,1505.678,1382.3386
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,23,22,0.8953068592057761,1385,1240,499.4884,447.1954
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,9,4,0.8841344275107463,5099,4544,1838.9107,1638.7547
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,22,17,0.8562162162162162,925,792,333.5933,285.628
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,26,19,0.6447368421052632,74,51,26.6875,18.3927
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,18,0.0,157,0,56.6207,0
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,20,0.0,28,0,10.098,0
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,3,9,0.9653470437017995,9583,9530,3456.0269,3436.9129
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,1,8,0.962397617274758,7782,8031,2806.5117,2896.3114
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,19,3,0.9606003752345216,5273,5177,1901.6623,1867.0407
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,16,22,0.9605747327843,5585,5604,2014.1824,2021.0346
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,5,32,0.9596809924678777,4417,4429,1592.9532,1597.2809
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,15,36,0.9594855305466238,3095,2999,1116.1853,1081.5637
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,37,21,0.95768467244802,9361,9376,3375.9645,3381.3741
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,27,13,0.9574843044388148,8960,8812,3231.3473,3177.9724
