FOV,GT_Count,AI_Count,Matched,FP,FN,precision,recall,f1,mean_iou,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742,115,107,87,20,28,0.8130841121495327,0.7565217391304347,0.7837837837837838,0.8223607555364447,1500543,1482499,17293.493171109916,17085.539256573975,-1.2024980290468184
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04,200,198,173,25,27,0.8737373737373737,0.865,0.8693467336683417,0.8010540957556885,939248,998322,10824.667386391891,11505.484807545532,6.289499684854267
ROSILHA-M-D_011_jpg.rf.3a2fb2d36de8bcc90049d66dd562a41c,226,206,195,11,31,0.9466019417475728,0.8628318584070797,0.9027777777777778,0.800765056312534,896915,998533,10336.787034804101,11507.91654529587,11.32972466733191
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580,279,241,198,43,81,0.8215767634854771,0.7096774193548387,0.7615384615384615,0.800917615450818,2471187,2439378,28479.99391489321,28113.400805412286,-1.2871951819105556
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f,212,279,129,150,83,0.46236559139784944,0.6084905660377359,0.5254582484725051,0.7215535800094902,2008206,1411254,23144.219623950772,16264.453209072686,-29.725635716654565
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67,238,219,187,32,51,0.8538812785388128,0.7857142857142857,0.8183807439824946,0.776162828550732,1516327,1300669,17475.40098462329,14989.98060660332,-14.222393982300652
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d,257,232,200,32,57,0.8620689655172413,0.7782101167315175,0.8179959100204498,0.7888062907314953,1443062,1429618,16631.03479373015,16476.09506711625,-0.9316301032110886
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f,119,100,65,35,54,0.65,0.5462184873949579,0.593607305936073,0.7436944991678902,2118670,2651187,24417.297722781317,30554.462137929662,25.134494753784214
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d,211,114,78,36,133,0.6842105263157895,0.3696682464454976,0.48000000000000004,0.7363448479272237,1793367,2803366,20668.238076345617,32308.298247448907,56.31858955807707
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703,132,93,59,34,73,0.6344086021505376,0.44696969696969696,0.5244444444444445,0.7529444105658365,2473512,3053161,28506.789129440764,35187.14152396774,23.43425057165682
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98,142,108,75,33,67,0.6944444444444444,0.528169014084507,0.6,0.7323689849470704,1887639,1749093,21754.706233690573,20157.988042419416,-7.339644921513065
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d,147,79,51,28,96,0.6455696202531646,0.3469387755102041,0.4513274336283185,0.7612751815639814,2302211,2708809,26532.57534569428,31218.545515417474,17.661196128417423
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630,208,127,91,36,117,0.7165354330708661,0.4375,0.5432835820895522,0.7333488119907187,2509750,2388457,28924.425682031848,27526.545269938735,-4.832871799980078
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88,196,187,147,40,49,0.786096256684492,0.75,0.7676240208877285,0.7554686565395006,1657236,1351725,19099.352333733532,15578.391993244148,-18.434972448100332
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb,313,258,226,32,87,0.875968992248062,0.7220447284345048,0.7915936952714536,0.767496867806257,1370255,1458422,15791.946971982288,16808.056082095925,6.434349810801639
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160,214,232,168,64,46,0.7241379310344828,0.7850467289719626,0.7533632286995515,0.7960522263691462,3011772,3081684,34710.14060572743,35515.864063554785,2.3212912531227463
ZAINA-679-B_011_jpg.rf.c763cf36a3a341bfed1f7851c1c77278,238,197,173,24,65,0.8781725888324873,0.726890756302521,0.7954022988505747,0.815348584746465,2895548,2842826,33370.67952375972,32763.06778123234,-1.8207952346153473
ZAINA-679-D_007_jpg.rf.34de0be2ff800849eeb730bc4890f94f,290,135,122,13,168,0.9037037037037037,0.4206896551724138,0.5741176470588235,0.8166969801458157,1733589,799237,19979.30717947521,9211.06532874991,-53.896973273365255
ZAINA-679-D_011_jpg.rf.ad543589609cac000708358c39701f62,194,124,112,12,82,0.9032258064516129,0.5773195876288659,0.7044025157232705,0.7877436191931394,812402,749761,9362.789629618104,8640.863163177957,-7.710591554427488
ZAINA-679-G_006_jpg.rf.11cd17e1f39e2a9131fc83dd7a404392,197,157,127,30,70,0.8089171974522293,0.6446700507614214,0.7175141242937854,0.8285207988284291,1949721,2168735,22470.190323815845,24994.288009371983,11.23309437606714
ZAINA-679-G_007_jpg.rf.35e86ec35895ca2f75ff075a91825a0e,155,141,120,21,35,0.851063829787234,0.7741935483870968,0.8108108108108107,0.8017758972945052,1576416,1729906,18167.916101590166,19936.86125466719,9.736643119582649
ZAINA-679-G_009_jpg.rf.f3d1d1a68f80e6e7a761e1c1f244a623,156,167,120,47,36,0.718562874251497,0.7692307692307693,0.7430340557275542,0.797546520485395,2019557,2207153,23275.03789506014,25437.04867710873,9.288967828092993
ZAINA-679-G_011_jpg.rf.5f57ef6c944be100b1ea7d06649ae4ae,160,159,129,30,31,0.8113207547169812,0.80625,0.8087774294670848,0.7994543093789296,1697905,1796401,19568.055379081696,20703.204390727242,5.801031270889714
ZAINA-679-G_012_jpg.rf.435fdf30ec5d45e87c3d9429f66f572f,90,82,59,23,31,0.7195121951219512,0.6555555555555556,0.6860465116279069,0.7758628679317481,1572691,1557177,18124.986134196773,17946.190023017953,-0.9864620577087299
ZAZA-B_004_jpg.rf.9fae4295ae0fe50a89201daf82b520a6,220,197,159,38,61,0.8071065989847716,0.7227272727272728,0.762589928057554,0.7805786475430582,2117567,2002512,24404.58584250349,23078.59727916205,-5.433358188902641
ZAZA-G_007_jpg.rf.b9cc35539ff0af0861e89e273942e011,116,135,63,72,53,0.4666666666666667,0.5431034482758621,0.5019920318725098,0.7023740196697742,1844899,1479201,21262.13527895403,17047.53038879856,-19.822114923364367
ZAZA-G_013_jpg.rf.d376ef4953acedd3682f9e043326859d,139,147,93,54,46,0.6326530612244898,0.6690647482014388,0.6503496503496504,0.7928157141023295,2076507,1784480,23931.376591181954,20565.81697024492,-14.063376622375943
