Tile,GT_Count,AI_Count,Matched,FP,FN,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r0c2.jpg,36,35,30,5,6,364274,344476,4198.193541546556,3970.0250866594693,-5.434919868011442
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r1c0.jpg,25,24,19,5,6,233331,235515,2689.0985830517675,2714.268797491276,0.9360093600936009
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r1c1.jpg,24,26,19,7,5,270464,236178,3117.049852640726,2721.9097554461273,-12.676733317557975
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r1c2.jpg,36,37,30,7,6,232465,236779,2679.11808593427,2728.8361743463765,1.8557632331748866
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r2c0.jpg,32,36,28,8,4,279962,300909,3226.5126258762825,3467.923102920419,7.482086854644559
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r2c1.jpg,19,19,18,1,1,95637,101020,1102.1995413696502,1164.2376660619016,5.628574714807031
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r2c2.jpg,43,40,34,6,9,266567,270560,3072.137615611987,3118.1562356930117,1.4979348531513652
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r0c0.jpg,19,29,8,21,11,181251,113641,2088.885777186554,1309.6924629671405,-37.30186316213428
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r0c1.jpg,17,33,8,25,9,222003,151797,2558.545382882007,1749.4336269570229,-31.623896974365213
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r0c2.jpg,0,0,0,0,0,0,0,0.0,0.0,0.0
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r1c0.jpg,25,28,20,8,5,115607,89000,1332.3502658920831,1025.7092880569119,-23.015042341726712
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r1c1.jpg,31,36,16,20,15,199489,131078,2299.075507473992,1510.6508096620662,-34.29311891883763
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r1c2.jpg,28,40,15,25,13,251778,175626,2901.6970014426197,2024.0586452166651,-30.24569263398708
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r2c0.jpg,32,37,23,14,9,304407,229669,3508.236935388094,2646.894679536437,-24.55199781870982
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r2c1.jpg,33,42,20,22,13,242748,205518,2797.6278455869574,2368.5586681222517,-15.336892579959462
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r2c2.jpg,44,62,17,45,27,481731,321482,5551.86473084207,3705.023295990024,-33.265245541598944
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r0c0.jpg,5,5,3,2,2,18585,14537,214.18884402851356,167.53635865711604,-21.78100618778585
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r0c1.jpg,19,18,13,5,6,87983,80876,1013.9885425967559,932.0816222572,-8.077696827796279
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r0c2.jpg,11,12,11,1,0,51774,50492,596.6862098860512,581.9113862086471,-2.476146328272878
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r1c0.jpg,43,40,35,5,8,237123,189746,2732.8007136170686,2186.7891524904135,-19.9799260299507
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r1c1.jpg,40,43,35,8,5,190293,182810,2193.093230923752,2106.852976962742,-3.932356944291172
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r1c2.jpg,36,40,29,11,7,276069,241167,3181.6464881413885,2779.4070996946207,-12.642491551025287
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r2c0.jpg,27,27,25,2,2,156786,159850,1806.9309712055165,1842.2430302909816,1.9542561198066153
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r2c1.jpg,22,22,18,4,4,171490,156469,1976.391975380672,1803.27760216828,-8.759111318444223
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r2c2.jpg,51,46,37,9,14,303539,214314,3498.233388623674,2469.931015287966,-29.394904773356966
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r0c0.jpg,6,5,3,2,3,33339,31924,384.22608937673465,367.91846417897585,-4.244278472659648
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r0c1.jpg,42,38,30,8,12,235585,182185,2715.0755351335683,2099.649962299421,-22.666977948511153
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r0c2.jpg,19,14,13,1,6,133866,132272,1542.7820174722085,1524.4114488748746,-1.190742981787758
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r1c0.jpg,9,10,8,2,1,53287,60254,614.1232677830186,694.4167128379906,13.074483457503705
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r1c1.jpg,56,61,51,10,5,233869,253793,2695.298938073954,2924.9195207171665,8.519299265828305
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r1c2.jpg,31,32,28,4,3,167222,161982,1927.2040288477854,1866.813953910502,-3.1335589814737297
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r2c0.jpg,39,42,32,10,7,177250,188648,2042.7749585178383,2174.134896329891,6.430465444287729
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r2c1.jpg,32,39,28,11,4,190371,174384,2193.9921671537345,2009.7448144777136,-8.397812692059189
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r2c2.jpg,37,31,25,6,12,210770,214870,2429.087040941071,2476.338817132457,1.9452483750059306
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r0c0.jpg,6,7,6,1,0,131718,223967,1518.0266966773067,2581.1801361600264,70.03522677234699
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r0c1.jpg,25,17,9,8,16,454944,196724,5243.149284783862,2267.20937060346,-56.758634029682774
