Tile,GT_Count,AI_Count,Matched,FP,FN,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r0c2.jpg,36,32,30,2,6,364274,358941,4198.193541546556,4136.731658027371,-1.4640078622136086
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r1c0.jpg,25,29,19,10,6,233331,224533,2689.0985830517675,2587.70318623913,-3.770609134662775
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r1c1.jpg,24,26,20,6,4,270464,290948,3117.049852640726,3353.1243364222737,7.573651206814954
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r1c2.jpg,36,43,32,11,4,232465,306976,2679.11808593427,3537.8442068602085,32.05256705310477
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r2c0.jpg,32,38,29,9,3,279962,296295,3226.5126258762825,3414.7475674699176,5.834006043677356
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r2c1.jpg,19,20,18,2,1,95637,97534,1102.1995413696502,1124.0621314757623,1.983541934606899
TORDILHA-B_006_jpg.rf.235faef65a5565236d3b0050d4713580_r2c2.jpg,43,49,37,12,6,266567,295578,3072.137615611987,3406.484269048156,10.88319259323172
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r0c0.jpg,19,36,10,26,9,181251,151243,2088.885777186554,1743.0488747594552,-16.556046587329174
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r0c1.jpg,17,37,8,29,9,222003,169566,2558.545382882007,1954.2182150411045,-23.619951081742137
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r0c2.jpg,0,0,0,0,0,0,0,0.0,0.0,0.0
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r1c0.jpg,25,35,16,19,9,115607,91676,1332.3502658920831,1056.549715639387,-20.70030361483301
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r1c1.jpg,31,48,21,27,10,199489,232630,2299.075507473992,2681.0196818053864,16.612946077227317
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r1c2.jpg,28,48,17,31,11,251778,185558,2901.6970014426197,2138.523191834432,-26.30094766024037
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r2c0.jpg,32,44,22,22,10,304407,234730,3508.236935388094,2705.221811074145,-22.88942107113174
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r2c1.jpg,33,51,21,30,12,242748,232711,2797.6278455869574,2681.9531925057527,-4.134740553990146
TORDILHA-D_003_jpg.rf.e67cd4ad20c15ed213012bb43fa0dc3f_r2c2.jpg,44,69,20,49,24,481731,346505,5551.86473084207,3993.4089534624745,-28.070852820349945
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r0c0.jpg,5,4,3,1,2,18585,14323,214.18884402851356,165.07004643639493,-22.932472423997847
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r0c1.jpg,19,22,16,6,3,87983,75776,1013.9885425967559,873.3050226045006,-13.874271166020707
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r0c2.jpg,11,13,11,2,0,51774,54669,596.6862098860512,630.0505738065541,5.591609688260517
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r1c0.jpg,43,40,32,8,11,237123,211419,2732.8007136170686,2436.5666513674632,-10.839943826621628
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r1c1.jpg,40,46,34,12,6,190293,178028,2193.093230923752,2051.74127117074,-6.445323790155181
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r1c2.jpg,36,40,28,12,8,276069,382613,3181.6464881413885,4409.5472790035865,38.5932502381651
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r2c0.jpg,27,25,24,1,3,156786,141170,1806.9309712055165,1626.959328033643,-9.960072965698467
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r2c1.jpg,22,25,17,8,5,171490,170612,1976.391975380672,1966.2731803816387,-0.5119832060178436
TORDILHA-D_011_jpg.rf.67cbd65b708b681788cae0003256ca67_r2c2.jpg,51,51,42,9,9,303539,299627,3498.233388623674,3453.1482792430147,-1.288796497319949
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r0c0.jpg,6,8,6,2,0,33339,41594,384.22608937673465,479.36350704987854,24.760790665586853
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r0c1.jpg,42,50,32,18,10,235585,244796,2715.0755351335683,2821.230684035728,3.9098414584969334
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r0c2.jpg,19,15,13,2,6,133866,129447,1542.7820174722085,1491.8538225966636,-3.301062256286137
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r1c0.jpg,9,12,9,3,0,53287,60192,614.1232677830186,693.7021737833892,12.958132377502956
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r1c1.jpg,56,62,50,12,6,233869,257251,2695.298938073954,2964.772360246389,9.997904809957712
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r1c2.jpg,31,35,29,6,2,167222,168830,1927.2040288477854,1945.7359449735777,0.9615959622537704
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r2c0.jpg,39,41,30,11,9,177250,159614,2042.7749585178383,1839.5231719541114,-9.94978843441467
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r2c1.jpg,32,40,29,11,3,190371,179645,2193.9921671537345,2070.3769107076846,-5.634261520924931
TORDILHA-G_012_jpg.rf.5a71e85cb1442ba538dc7acb7149a07d_r2c2.jpg,37,37,28,9,9,210770,269511,2429.087040941071,3106.066695882094,27.869715803956918
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r0c0.jpg,6,6,5,1,1,131718,98353,1518.0266966773067,1133.500961890578,-25.330630589592918
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r0c1.jpg,25,21,13,8,12,454944,200317,5243.149284783862,2308.6180612999597,-55.968866497854684
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r0c2.jpg,13,12,7,5,6,163969,183662,1889.7137781281322,2116.6721265517813,12.010197049442272
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r1c0.jpg,1,2,0,2,1,97920,46929,1128.5107133318293,540.8484402159867,-52.07414215686275
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r1c1.jpg,12,12,6,6,6,193057,88263,2224.947842970823,1017.2154931659237,-54.28137803861036
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r1c2.jpg,17,11,9,2,8,221664,150505,2554.6384677286214,1734.5435550450056,-32.10219070304605
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r2c0.jpg,7,7,6,1,1,263124,196405,3032.457648434684,2263.5329519193006,-25.3564859153859
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r2c1.jpg,32,21,15,6,17,324002,242267,3734.0658511125343,2792.0844055020657,-25.22669613150536
TOSTADA-B_004_jpg.rf.25c22e0051034e43662e42875d5b085f_r2c2.jpg,17,9,3,6,14,243727,92257,2808.910647755584,1063.2456380704102,-62.14740262670939
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r0c0.jpg,30,17,11,6,19,294135,339304,3389.8539487934804,3910.4186997175552,15.356553963316163
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r0c1.jpg,24,10,10,0,14,141588,79696,1631.7767042404723,918.48233057285,-43.71274401785462
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r0c2.jpg,17,12,10,2,7,76208,89165,878.2837463397881,1027.6108839280284,17.00215200503884
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r1c0.jpg,11,8,4,4,7,114490,89301,1319.4770380857958,1029.1782599187673,-22.001048126473925
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r1c1.jpg,25,21,16,5,9,204654,216188,2358.6012206516766,2491.528534454468,5.635853684755734
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r1c2.jpg,40,24,19,5,21,246616,243620,2842.2058627353185,2807.677491645223,-1.2148441301456516
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r2c0.jpg,28,13,9,4,19,258498,281588,2979.143815102647,3245.2519888243783,8.932370850064604
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r2c1.jpg,34,18,12,6,22,323667,303438,3730.205035252994,3497.069381454081,-6.249942070090556
TOSTADA-B_011_jpg.rf.e52fc7a5f2ca4041d6a049b2f927f63d_r2c2.jpg,17,11,8,3,9,122421,103841,1410.8804129574742,1196.7491930462672,-15.17713464193235
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r0c0.jpg,17,11,6,5,11,247071,230915,2847.4496574102163,2661.2546095692337,-6.53901105350284
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r0c1.jpg,19,21,15,6,4,342779,386892,3950.4674612456197,4458.861998594547,12.869224777480534
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r0c2.jpg,13,7,5,2,8,153701,109407,1771.3768908273642,1260.8963604319388,-28.818290056668467
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r1c0.jpg,17,15,11,4,6,432747,355527,4987.332778413083,4097.385910730446,-17.844144500135183
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r1c1.jpg,20,14,12,2,8,363638,210548,4190.8637538251605,2426.5285301326594,-42.09956055197752
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r1c2.jpg,14,8,6,2,8,244058,134094,2812.7253643212784,1545.409677221388,-45.056502962410576
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r2c0.jpg,9,9,8,1,1,206441,306933,2379.196080177044,3537.348639451372,48.67831486962377
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r2c1.jpg,21,20,14,6,7,281800,287193,3247.695251398177,3309.8486243250413,1.9137686302342087
TOSTADA-D_004_jpg.rf.3e98f483ac7b358f6b42724649248703_r2c2.jpg,13,11,9,2,4,184383,197899,2124.9815242673885,2280.7510381705033,7.330393799862243
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r0c0.jpg,5,5,2,3,3,61103,55697,704.2012879566458,641.8980923247844,-8.8473561036283
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r0c1.jpg,24,20,15,5,9,231268,133691,2665.322872251077,1540.7651733664786,-42.19217531175951
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r0c2.jpg,26,22,12,10,14,181727,121756,2094.3715931541396,1403.2164053557005,-33.0005998008001
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r1c0.jpg,15,11,6,5,9,325141,182615,3747.19262503497,2104.605636387786,-43.835136140935774
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r1c1.jpg,20,19,13,6,7,231435,240910,2667.2475177691167,2776.445220065063,4.09402207963359
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r1c2.jpg,26,21,13,8,13,176669,95831,2036.0790360868152,1104.4353571211452,-45.756754156077186
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r2c0.jpg,16,16,9,7,7,433689,280072,4998.189162113641,3227.780356457027,-35.421004452499375
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r2c1.jpg,12,14,8,6,4,141391,136620,1629.5063140185935,1574.5213812846662,-3.3743307565545186
TOSTADA-D_005_jpg.rf.9eda8c127b0d32eddbe6f3379d28ec98_r2c2.jpg,12,8,5,3,7,98170,54146,1131.3919191971577,624.023091136287,-44.844657227258836
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r0c0.jpg,27,15,15,0,12,170243,131818,1962.020520524414,1519.179179023438,-22.570678383252172
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r0c1.jpg,11,6,5,1,6,255530,75845,2944.9381390694684,874.1002354233312,-70.31855359448988
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r0c2.jpg,18,11,6,5,12,190950,209943,2200.665039937835,2419.5560119385646,9.946582875098194
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r1c0.jpg,27,16,14,2,13,313349,175816,3611.2919067791604,2026.2483616743148,-43.89131607249425
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r1c1.jpg,13,12,8,4,5,230325,170943,2654.4549637270584,1970.0878969473333,-25.781830022793876
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r1c2.jpg,12,6,5,1,7,254379,236185,2931.6730672654962,2721.9904292103565,-7.152319963519001
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r2c0.jpg,21,14,10,4,11,245948,128779,2834.507280663161,1484.155240524506,-47.639744986745164
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r2c1.jpg,19,11,7,4,12,309141,253432,3562.7954496539523,2920.7590594476324,-18.020579606069724
TOSTADA-G_004_jpg.rf.a8373c1bf8f08d538788901740142a7d_r2c2.jpg,14,11,8,3,6,289665,253539,3338.3379879214085,2921.992215557993,-12.471648283361816
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r0c0.jpg,23,21,17,4,6,174396,185425,2009.8831123592493,2136.990390314077,6.324112938370146
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r0c1.jpg,31,24,17,7,14,339546,421650,3913.207706995193,4859.441812462886,24.180523404781677
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r0c2.jpg,24,19,13,6,11,332566,362436,3832.764439235224,4177.010916024662,8.98167581773242
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r1c0.jpg,24,15,9,6,15,223421,183618,2574.8875825501495,2116.1650343194833,-17.815245657301688
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r1c1.jpg,28,22,12,10,16,387609,385314,4467.12529701631,4440.675827172595,-0.5920915149029048
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r1c2.jpg,28,22,12,10,16,321385,223678,3703.9053881142763,2577.8494621797067,-30.40185447360642
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r2c0.jpg,24,20,14,6,10,262661,275828,3027.1216551720954,3178.869005687212,5.0129254057511385
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r2c1.jpg,22,11,7,4,15,242895,256176,2799.321994635771,2952.3831750254767,5.467794726116223
TOSTADA-G_011_jpg.rf.9ccdeb5753c9cd5d19a9f9b7f930b630_r2c2.jpg,22,9,8,1,14,212663,98176,2450.9035317533376,1131.4610681379256,-53.83494072781819
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r0c0.jpg,17,11,10,1,7,140284,103709,1616.7483344469192,1195.2279163493738,-26.07211086082518
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r0c1.jpg,20,22,14,8,6,205551,213933,2368.9389872964753,2465.540057549206,4.077820103040121
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r0c2.jpg,26,31,21,10,5,313886,354061,3617.4807369778855,4080.4905195361603,12.799232842496957
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r1c0.jpg,31,31,25,6,6,232726,181950,2682.1260648576726,2096.941628786012,-21.817931816814625
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r1c1.jpg,24,28,20,8,4,128126,153393,1476.6295308042684,1767.8272452012795,19.72043145029112
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r1c2.jpg,24,23,17,6,7,196810,136964,2268.2005054211327,1578.485920555358,-30.4080077231848
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r2c0.jpg,24,25,23,2,1,172058,164741,1982.938075106698,1898.6109418402664,-4.25263573911123
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r2c1.jpg,24,26,19,7,5,113173,103849,1304.2988455872458,1196.8413916339578,-8.238714180944218
TP-D_001_jpg.rf.a759b345b354228cb1ebf83b7e7c1c88_r2c2.jpg,20,21,11,10,9,149202,134670,1719.526710074914,1552.0479755351046,-9.739815820163269
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r0c0.jpg,35,35,34,1,1,168867,190593,1946.1623634416464,2196.550677962146,12.865746415818366
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r0c1.jpg,37,37,30,7,7,230337,312008,2654.5932616085943,3595.837118517539,35.45717796098759
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r0c2.jpg,43,44,35,9,8,197342,266250,2274.3317115025516,3068.48424657475,34.91806103110336
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r1c0.jpg,37,31,26,5,11,150109,154781,1729.9797249543255,1783.8237001655827,3.1124049857103837
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r1c1.jpg,27,25,24,1,3,105994,105082,1221.5621379584754,1211.0514989617573,-0.8604260618525577
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r1c2.jpg,49,42,35,7,14,188021,217310,2166.9088320196474,2504.459386378062,15.577515277548784
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r2c0.jpg,44,33,25,8,19,153490,142517,1768.9451530770268,1642.4832652360326,-7.148999934849176
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r2c1.jpg,28,26,22,4,6,126526,123549,1458.1898132661665,1423.8804138218359,-2.35287608870904
TP-D_009_jpg.rf.e8cdb11635df3be6c85d743284d8ecfb_r2c2.jpg,22,20,18,2,4,41207,42339,474.90340037035014,487.94950052855717,2.7471060742106923
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160_r0c0.jpg,29,36,23,13,6,348147,384923,4012.3327135859513,4436.169621199221,10.563353985529101
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160_r0c1.jpg,38,46,31,15,7,254540,298374,2933.5285638427677,3438.707675445989,17.22086901862183
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160_r0c2.jpg,29,22,15,7,14,354767,244713,4088.6270448998475,2820.274123688439,-31.021487342396558
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160_r1c0.jpg,28,35,24,11,4,376807,377948,4342.6341539872,4355.783977556558,0.3028075380765219
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160_r1c1.jpg,27,34,22,12,5,370929,330244,4274.891241681598,3806.003799158054,-10.968406352698224
ZAINA-679-B_001_jpg.rf.42f7c9c2b999e82410968535976ef160_r1c2.jpg,15,21,14,7,1,286451,259506,3301.2972053167464,2990.7608371516512,-9.40649535173555
