task,unit,n_units,conf,warmup,repeats,elapsed_sec_mean,elapsed_sec_std,ms_per_unit,units_per_sec,peak_gpu_mem_mb,gpu_name,gpu_vram_gb,status,source
microcotyledon,FOV,27,0.44,1,3,1.0780351161956787,0.03752946308419809,39.92722652576588,25.04556632188512,840.4873046875,training_machine_16GB_edual_path,16,OK_from_prior_benchmark_json,v2_rfdetr_seg_large_opt_v1\artifacts\benchmarks\inference_benchmark_seg_large_r672_auto.json
capillary,tile,243,0.33,1,3,7.926551466691308,0.10351978028251409,32.61955336086958,30.65645899369058,181.34033203125,NVIDIA GeForce GTX 1650 SUPER,4.0,OK,v3_capilar_yolo11s\artifacts_v4\benchmarks\inference_benchmark_capilar_yolo11s_tiled_v4.json
