Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,17,6,0.9153328694038506,3990,4267,1438.9593,1538.857
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,10,32,0.9152460984393758,3993,3984,1440.0413,1436.7955
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,31,26,0.9053294054633101,6976,7253,2515.8347,2615.7324
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,24,43,0.9037416053725615,3013,2940,1086.6127,1060.2858
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,6,28,0.9025641025641026,4227,4306,1524.4314,1552.922
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,40,10,0.9024822695035462,5404,5326,1948.9063,1920.7763
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,5,33,0.9011357769747032,3553,3812,1281.359,1374.7652
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,18,34,0.8992143050663777,3460,3550,1247.8194,1280.2771
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,16,5,0.8941085868309588,2397,2522,864.4575,909.5377
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,34,39,0.8920430107526882,2198,2201,792.6899,793.7718
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,23,7,0.8903053661428995,3076,3300,1109.3331,1190.1167
