epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1017.23,1.26708,2.44047,1.03497,1.37893,0.88041,0.79205,0.89002,0.54913,0.86913,0.75841,0.83826,0.43832,1.22728,2.46243,0.95353,1.40124,0.0014258,0.0014258,0.0014258
31,1045.88,1.21526,2.36853,0.97604,1.33525,0.83644,0.81323,0.86332,0.52417,0.839,0.76495,0.81262,0.403,1.24803,2.43906,0.9843,1.41946,0.001406,0.001406,0.001406
32,1070.68,1.19595,2.39099,0.98435,1.3379,0.84714,0.80122,0.8633,0.55379,0.79694,0.78593,0.81779,0.42114,1.16217,2.40926,0.94863,1.37743,0.0013862,0.0013862,0.0013862
33,1097.9,1.22895,2.48822,1.02475,1.37732,0.81359,0.84086,0.8812,0.54696,0.83383,0.80428,0.85396,0.44934,1.19789,2.37966,0.92277,1.36507,0.0013664,0.0013664,0.0013664
34,1129.22,1.18576,2.36905,0.95142,1.31525,0.83754,0.83486,0.88798,0.56886,0.83931,0.77676,0.85314,0.46132,1.1422,2.37139,0.86384,1.32407,0.0013466,0.0013466,0.0013466
35,1206.84,1.21079,2.42717,0.95885,1.36476,0.83905,0.81651,0.87042,0.54898,0.83097,0.79683,0.8458,0.45599,1.20872,2.36973,0.91921,1.37315,0.0013268,0.0013268,0.0013268
36,1259.46,1.17723,2.3347,0.93123,1.32004,0.85872,0.79925,0.87993,0.53481,0.86271,0.77676,0.85373,0.4693,1.2017,2.53178,0.94558,1.47487,0.001307,0.001307,0.001307
37,1282.83,1.16677,2.35648,0.97496,1.33417,0.85872,0.79925,0.87993,0.53481,0.86271,0.77676,0.85373,0.4693,1.2017,2.53178,0.94558,1.47487,0.0012872,0.0012872,0.0012872
38,1307.79,1.15322,2.2832,0.93151,1.33267,0.89011,0.84221,0.89696,0.55795,0.88394,0.79511,0.85585,0.46368,1.18927,2.41258,0.88139,1.43195,0.0012674,0.0012674,0.0012674
39,1329.16,1.22308,2.44559,0.97852,1.37219,0.8739,0.82655,0.89492,0.54327,0.8542,0.78593,0.82888,0.43312,1.27023,2.37818,0.89909,1.40277,0.0012476,0.0012476,0.0012476
40,1350.86,1.21583,2.39785,0.9405,1.38858,0.9009,0.80122,0.897,0.58295,0.85549,0.76034,0.8265,0.42374,1.15691,2.47517,0.862,1.34751,0.0012278,0.0012278,0.0012278
41,1371.14,1.14074,2.33306,0.88063,1.31668,0.8688,0.8104,0.88925,0.58897,0.84019,0.77175,0.83095,0.45349,1.11284,2.34702,0.87305,1.36145,0.001208,0.001208,0.001208
42,1434.96,1.16429,2.39658,0.93862,1.3454,0.89736,0.80734,0.89153,0.58769,0.87844,0.79558,0.8625,0.47999,1.10191,2.3173,0.87163,1.35308,0.0011882,0.0011882,0.0011882
43,1483.59,1.13374,2.24401,0.88008,1.28548,0.87969,0.84098,0.89788,0.58575,0.87614,0.82203,0.86702,0.45836,1.12496,2.27521,0.84743,1.34687,0.0011684,0.0011684,0.0011684
44,1512.14,1.16397,2.31561,0.88833,1.32499,0.84072,0.84098,0.8941,0.5888,0.83227,0.80426,0.85785,0.47411,1.10879,2.29671,0.85354,1.3303,0.0011486,0.0011486,0.0011486
45,1536.29,1.12717,2.2705,0.88207,1.31899,0.84072,0.84098,0.8941,0.5888,0.83227,0.80426,0.85785,0.47411,1.10879,2.29671,0.85354,1.3303,0.0011288,0.0011288,0.0011288
46,1562.96,1.1417,2.21422,0.88203,1.30153,0.86733,0.83972,0.90245,0.59622,0.86973,0.81669,0.8843,0.4977,1.13983,2.23533,0.82283,1.33428,0.001109,0.001109,0.001109
47,1614.2,1.10572,2.24188,0.85399,1.28835,0.85949,0.86051,0.90391,0.58416,0.86403,0.83561,0.88065,0.49241,1.17707,2.31593,0.82939,1.36157,0.0010892,0.0010892,0.0010892
48,1658.28,1.07644,2.12916,0.79912,1.23271,0.84613,0.85765,0.89793,0.5897,0.85475,0.80983,0.85583,0.47842,1.11112,2.29882,0.79799,1.34325,0.0010694,0.0010694,0.0010694
49,1680.51,1.10901,2.23933,0.85609,1.30894,0.83219,0.84924,0.87849,0.58411,0.81562,0.81651,0.8328,0.46764,1.11154,2.31965,0.81111,1.36196,0.0010496,0.0010496,0.0010496
50,1707.6,1.08318,2.16321,0.81133,1.26597,0.85558,0.85933,0.89423,0.59066,0.81014,0.80906,0.83134,0.48291,1.10948,2.35152,0.80651,1.36872,0.0010298,0.0010298,0.0010298
51,1731.21,1.12876,2.27464,0.86412,1.32115,0.86244,0.87156,0.89852,0.60137,0.85515,0.83047,0.85861,0.49044,1.11082,2.31636,0.78133,1.35316,0.00101,0.00101,0.00101
52,1757.15,1.07568,2.18534,0.78888,1.24553,0.8374,0.88198,0.89467,0.58992,0.85085,0.83738,0.85966,0.47072,1.12455,2.37878,0.77993,1.3367,0.0009902,0.0009902,0.0009902
53,1785.55,1.09706,2.1494,0.81737,1.28815,0.8374,0.88198,0.89467,0.58992,0.85085,0.83738,0.85966,0.47072,1.12455,2.37878,0.77993,1.3367,0.0009704,0.0009704,0.0009704
54,1812.03,1.11021,2.11548,0.8415,1.27842,0.8493,0.84451,0.87141,0.54733,0.86194,0.80734,0.84571,0.4503,1.23241,2.33007,0.83981,1.39047,0.0009506,0.0009506,0.0009506
55,1836.34,1.09804,2.15282,0.82824,1.29424,0.87774,0.84098,0.86673,0.57656,0.89131,0.82757,0.85325,0.46635,1.13696,2.22477,0.8039,1.38083,0.0009308,0.0009308,0.0009308
56,1862.6,1.06652,2.1763,0.79428,1.27249,0.89926,0.84624,0.88474,0.58932,0.88557,0.83486,0.85773,0.48621,1.10512,2.20091,0.77898,1.3535,0.000911,0.000911,0.000911
57,1886.72,1.06986,2.16251,0.80109,1.26825,0.88977,0.84098,0.88056,0.59025,0.87569,0.82875,0.86109,0.48909,1.12472,2.19683,0.77708,1.34472,0.0008912,0.0008912,0.0008912
58,1911.97,1.05843,2.16111,0.81282,1.26934,0.89396,0.8104,0.87043,0.6021,0.89167,0.80547,0.85452,0.49505,1.08099,2.22889,0.76962,1.3328,0.0008714,0.0008714,0.0008714
59,1940.3,1.0813,2.21806,0.82937,1.27845,0.87072,0.83486,0.878,0.60384,0.87806,0.82569,0.86614,0.51229,1.06796,2.20745,0.76711,1.33803,0.0008516,0.0008516,0.0008516
60,1968.72,1.02623,2.07439,0.7682,1.22663,0.88592,0.83117,0.8811,0.59804,0.86823,0.82613,0.87367,0.51531,1.09324,2.20339,0.79462,1.36044,0.0008318,0.0008318,0.0008318
61,1994.03,1.04534,2.1198,0.77777,1.24905,0.88592,0.83117,0.8811,0.59804,0.86823,0.82613,0.87367,0.51531,1.09324,2.20339,0.79462,1.36044,0.000812,0.000812,0.000812
62,2016.44,1.0904,2.15361,0.82505,1.30036,0.84894,0.87648,0.88284,0.59411,0.84884,0.86544,0.87848,0.51624,1.11625,2.20542,0.79199,1.39538,0.0007922,0.0007922,0.0007922
63,2045.68,1.00815,2.03699,0.73995,1.20763,0.88608,0.82569,0.88654,0.58534,0.85326,0.79511,0.84466,0.47989,1.10789,2.27057,0.81791,1.39076,0.0007724,0.0007724,0.0007724
